periode,mois,store_id,store_city,product_id,product_name,categorie,chiffre_affaires,marge_brute,taux_marge_pct,nb_transactions,panier_moyen,taux_rupture,taux_surstock,taux_promotion,ca_sous_promo,nb_retours
2025-01,1,S01,Paris,P001,Lait demi-écrémé,Alimentaire,104747.6,22415.99,21.4,421,248.81,0.133,0.117,0.35,36661.66,9
2025-01,1,S01,Paris,P002,Riz 1kg,Alimentaire,111562.76,23651.31,21.2,1246,89.54,0.008,0.008,0.32,35700.08,17
2025-01,1,S01,Paris,P003,Pâtes 500g,Alimentaire,100832.86,22586.56,22.4,1031,97.8,0.149,0.149,0.13,13108.27,50
2025-01,1,S01,Paris,P004,Shampoing,Droguerie,123105.07,25605.85,20.8,463,265.89,0.179,0.037,0.08,9848.41,27
2025-01,1,S01,Paris,P005,Lessive,Droguerie,2269.17,1014.32,44.7,639,3.55,0.175,0.05,0.18,408.45,37
2025-01,1,S01,Paris,P006,T-shirt homme,Textile,101794.01,29927.44,29.4,242,420.64,0.166,0.031,0.35,35627.9,8
2025-01,1,S01,Paris,P007,Jeans,Textile,86538.17,25442.22,29.4,954,90.71,0.143,0.079,0.25,21634.54,32
2025-01,1,S01,Paris,P008,Smartphone,Électronique,79035.77,30112.63,38.1,1176,67.21,0.136,0.142,0.2,15807.15,27
2025-01,1,S01,Paris,P009,TV 4K,Électronique,40736.97,15317.1,37.6,1419,28.71,0.183,0.162,0.24,9776.87,5
2025-01,1,S01,Paris,P010,Casque audio,Électronique,105757.31,22949.34,21.7,900,117.51,0.077,0.028,0.08,8460.58,2
2025-01,1,S02,Lyon,P001,Lait demi-écrémé,Alimentaire,114100.05,21907.21,19.2,38,3002.63,0.135,0.146,0.23,26243.01,47
2025-01,1,S02,Lyon,P002,Riz 1kg,Alimentaire,139311.51,21036.04,15.1,535,260.4,0.127,0.186,0.26,36220.99,27
2025-01,1,S02,Lyon,P003,Pâtes 500g,Alimentaire,129653.24,30468.51,23.5,109,1189.48,0.074,0.172,0.13,16854.92,43
2025-01,1,S02,Lyon,P004,Shampoing,Droguerie,71459.54,26725.87,37.4,490,145.84,0.145,0.08,0.3,21437.86,43
2025-01,1,S02,Lyon,P005,Lessive,Droguerie,101281.5,38993.38,38.5,1449,69.9,0.109,0.072,0.02,2025.63,7
2025-01,1,S02,Lyon,P006,T-shirt homme,Textile,34211.48,12179.29,35.6,1369,24.99,0.007,0.031,0.2,6842.3,33
2025-01,1,S02,Lyon,P007,Jeans,Textile,48699.02,12759.14,26.2,93,523.65,0.033,0.053,0.34,16557.67,36
2025-01,1,S02,Lyon,P008,Smartphone,Électronique,51293.72,20722.66,40.4,194,264.4,0.226,0.015,0.19,9745.81,7
2025-01,1,S02,Lyon,P009,TV 4K,Électronique,83552.36,10611.15,12.7,275,303.83,0.019,0.05,0.18,15039.42,14
2025-01,1,S02,Lyon,P010,Casque audio,Électronique,56941.26,6035.77,10.6,1145,49.73,0.031,0.166,0.4,22776.5,2
2025-01,1,S03,Marseille,P001,Lait demi-écrémé,Alimentaire,4165.99,1512.25,36.3,642,6.49,0.15,0.122,0.37,1541.42,33
2025-01,1,S03,Marseille,P002,Riz 1kg,Alimentaire,96121.54,41812.87,43.5,476,201.94,0.063,0.071,0.08,7689.72,26
2025-01,1,S03,Marseille,P003,Pâtes 500g,Alimentaire,67130.36,14500.16,21.6,1402,47.88,0.222,0.04,0.11,7384.34,18
2025-01,1,S03,Marseille,P004,Shampoing,Droguerie,9966.47,1445.14,14.5,389,25.62,0.097,0.07,0.3,2989.94,39
2025-01,1,S03,Marseille,P005,Lessive,Droguerie,41475.73,11156.97,26.9,193,214.9,0.071,0.128,0.31,12857.48,35
2025-01,1,S03,Marseille,P006,T-shirt homme,Textile,9362.57,2574.71,27.5,1057,8.86,0.037,0.043,0.22,2059.77,18
2025-01,1,S03,Marseille,P007,Jeans,Textile,29801.62,7569.61,25.4,1077,27.67,0.031,0.021,0.08,2384.13,41
2025-01,1,S03,Marseille,P008,Smartphone,Électronique,11438.43,5032.91,44.0,1016,11.26,0.086,0.017,0.13,1487.0,15
2025-01,1,S03,Marseille,P009,TV 4K,Électronique,5967.25,2607.69,43.7,1433,4.16,0.161,0.033,0.01,59.67,32
2025-01,1,S03,Marseille,P010,Casque audio,Électronique,106394.23,24470.67,23.0,1152,92.36,0.209,0.108,0.06,6383.65,49
2025-01,1,S04,Lille,P001,Lait demi-écrémé,Alimentaire,42891.0,4546.45,10.6,314,136.6,0.242,0.119,0.13,5575.83,26
2025-01,1,S04,Lille,P002,Riz 1kg,Alimentaire,127528.35,37875.92,29.7,160,797.05,0.161,0.047,0.37,47185.49,16
2025-01,1,S04,Lille,P003,Pâtes 500g,Alimentaire,105646.14,35708.4,33.8,889,118.84,0.091,0.132,0.34,35919.69,40
2025-01,1,S04,Lille,P004,Shampoing,Droguerie,84194.67,30562.67,36.3,868,97.0,0.221,0.016,0.38,31993.97,31
2025-01,1,S04,Lille,P005,Lessive,Droguerie,149572.41,12264.94,8.2,229,653.15,0.186,0.194,0.15,22435.86,26
2025-01,1,S04,Lille,P006,T-shirt homme,Textile,106190.04,31432.25,29.6,205,518.0,0.078,0.122,0.21,22299.91,44
2025-01,1,S04,Lille,P007,Jeans,Textile,17089.02,2221.57,13.0,1375,12.43,0.072,0.079,0.21,3588.69,42
2025-01,1,S04,Lille,P008,Smartphone,Électronique,83795.63,20697.52,24.7,1308,64.06,0.135,0.107,0.02,1675.91,3
2025-01,1,S04,Lille,P009,TV 4K,Électronique,119323.93,31262.87,26.2,516,231.25,0.005,0.112,0.25,29830.98,11
2025-01,1,S04,Lille,P010,Casque audio,Électronique,27850.06,3731.91,13.4,312,89.26,0.159,0.193,0.05,1392.5,22
2025-01,1,S05,Toulouse,P001,Lait demi-écrémé,Alimentaire,139504.15,21204.63,15.2,280,498.23,0.171,0.105,0.18,25110.75,45
2025-01,1,S05,Toulouse,P002,Riz 1kg,Alimentaire,145807.71,42284.24,29.0,708,205.94,0.031,0.173,0.18,26245.39,5
2025-01,1,S05,Toulouse,P003,Pâtes 500g,Alimentaire,66434.46,20063.21,30.2,657,101.12,0.129,0.009,0.04,2657.38,29
2025-01,1,S05,Toulouse,P004,Shampoing,Droguerie,104686.37,17063.88,16.3,1012,103.45,0.006,0.079,0.36,37687.09,7
2025-01,1,S05,Toulouse,P005,Lessive,Droguerie,124741.13,36673.89,29.4,446,279.69,0.241,0.091,0.18,22453.4,33
2025-01,1,S05,Toulouse,P006,T-shirt homme,Textile,108081.2,39773.88,36.8,862,125.38,0.093,0.127,0.27,29181.92,27
2025-01,1,S05,Toulouse,P007,Jeans,Textile,101890.42,12634.41,12.4,1411,72.21,0.071,0.141,0.04,4075.62,39
2025-01,1,S05,Toulouse,P008,Smartphone,Électronique,141439.64,43563.41,30.8,495,285.74,0.197,0.037,0.23,32531.12,47
2025-01,1,S05,Toulouse,P009,TV 4K,Électronique,74341.25,24235.25,32.6,131,567.49,0.009,0.158,0.14,10407.78,49
2025-01,1,S05,Toulouse,P010,Casque audio,Électronique,64758.97,7965.35,12.3,460,140.78,0.208,0.132,0.15,9713.85,44
2025-01,1,S06,Nice,P001,Lait demi-écrémé,Alimentaire,49645.41,13453.91,27.1,102,486.72,0.166,0.159,0.23,11418.44,38
2025-01,1,S06,Nice,P002,Riz 1kg,Alimentaire,127338.84,38328.99,30.1,1412,90.18,0.194,0.053,0.07,8913.72,3
2025-01,1,S06,Nice,P003,Pâtes 500g,Alimentaire,146704.77,31248.12,21.3,291,504.14,0.221,0.098,0.3,44011.43,40
2025-01,1,S06,Nice,P004,Shampoing,Droguerie,60066.96,6126.83,10.2,1245,48.25,0.104,0.137,0.18,10812.05,8
2025-01,1,S06,Nice,P005,Lessive,Droguerie,128409.55,19903.48,15.5,581,221.01,0.006,0.156,0.12,15409.15,42
2025-01,1,S06,Nice,P006,T-shirt homme,Textile,97879.58,26525.37,27.1,462,211.86,0.243,0.165,0.04,3915.18,43
