date_snapshot,entrepot_id,entrepot_nom,store_id,store_city,product_id,product_name,categorie,capacite_totale,stock_actuel,seuil_min,seuil_max,taux_occupation_pct,rupture_stock,surstock,rotation_stock_j
2025-01-06,E01,Paris-Rungis,S01,Paris,P001,Lait demi-écrémé,Alimentaire,50000,24,58,1977,0.05,Oui,Non,6.9
2025-01-06,E01,Paris-Rungis,S01,Paris,P002,Riz 1kg,Alimentaire,50000,3,94,742,0.01,Oui,Non,9.0
2025-01-06,E01,Paris-Rungis,S01,Paris,P003,Pâtes 500g,Alimentaire,50000,219,36,564,0.44,Non,Non,13.4
2025-01-06,E01,Paris-Rungis,S01,Paris,P004,Shampoing,Droguerie,50000,1430,84,1752,2.86,Non,Non,29.2
2025-01-06,E01,Paris-Rungis,S01,Paris,P005,Lessive,Droguerie,50000,73,56,631,0.15,Non,Non,16.7
2025-01-06,E01,Paris-Rungis,S01,Paris,P006,T-shirt homme,Textile,50000,192,100,1756,0.38,Non,Non,28.7
2025-01-06,E01,Paris-Rungis,S01,Paris,P007,Jeans,Textile,50000,1262,63,1760,2.52,Non,Non,26.9
2025-01-06,E01,Paris-Rungis,S01,Paris,P008,Smartphone,Électronique,50000,708,89,1235,1.42,Non,Non,23.0
2025-01-06,E01,Paris-Rungis,S01,Paris,P009,TV 4K,Électronique,50000,1161,51,1265,2.32,Non,Oui,10.9
2025-01-06,E01,Paris-Rungis,S01,Paris,P010,Casque audio,Électronique,50000,794,25,1240,1.59,Non,Non,3.0
2025-01-06,E02,Lyon-Sud,S02,Lyon,P001,Lait demi-écrémé,Alimentaire,35000,997,27,1334,2.85,Non,Non,17.5
2025-01-06,E02,Lyon-Sud,S02,Lyon,P002,Riz 1kg,Alimentaire,35000,19,93,526,0.05,Oui,Non,12.5
2025-01-06,E02,Lyon-Sud,S02,Lyon,P003,Pâtes 500g,Alimentaire,35000,120,74,1621,0.34,Non,Non,3.1
2025-01-06,E02,Lyon-Sud,S02,Lyon,P004,Shampoing,Droguerie,35000,899,69,1968,2.57,Non,Non,14.8
2025-01-06,E02,Lyon-Sud,S02,Lyon,P005,Lessive,Droguerie,35000,1833,25,1924,5.24,Non,Oui,8.0
2025-01-06,E02,Lyon-Sud,S02,Lyon,P006,T-shirt homme,Textile,35000,546,81,1525,1.56,Non,Non,21.1
2025-01-06,E02,Lyon-Sud,S02,Lyon,P007,Jeans,Textile,35000,1822,36,1967,5.21,Non,Oui,28.7
2025-01-06,E02,Lyon-Sud,S02,Lyon,P008,Smartphone,Électronique,35000,591,44,1667,1.69,Non,Non,9.9
2025-01-06,E02,Lyon-Sud,S02,Lyon,P009,TV 4K,Électronique,35000,21,67,960,0.06,Oui,Non,1.1
2025-01-06,E02,Lyon-Sud,S02,Lyon,P010,Casque audio,Électronique,35000,772,82,1438,2.21,Non,Non,23.0
2025-01-06,E03,Marseille-Port,S03,Marseille,P001,Lait demi-écrémé,Alimentaire,30000,671,40,1184,2.24,Non,Non,1.2
2025-01-06,E03,Marseille-Port,S03,Marseille,P002,Riz 1kg,Alimentaire,30000,712,40,1796,2.37,Non,Non,25.0
2025-01-06,E03,Marseille-Port,S03,Marseille,P003,Pâtes 500g,Alimentaire,30000,435,29,1510,1.45,Non,Non,29.6
2025-01-06,E03,Marseille-Port,S03,Marseille,P004,Shampoing,Droguerie,30000,133,60,1022,0.44,Non,Non,27.1
2025-01-06,E03,Marseille-Port,S03,Marseille,P005,Lessive,Droguerie,30000,216,43,1085,0.72,Non,Non,14.3
2025-01-06,E03,Marseille-Port,S03,Marseille,P006,T-shirt homme,Textile,30000,596,52,876,1.99,Non,Non,2.8
2025-01-06,E03,Marseille-Port,S03,Marseille,P007,Jeans,Textile,30000,1172,43,1854,3.91,Non,Non,21.4
2025-01-06,E03,Marseille-Port,S03,Marseille,P008,Smartphone,Électronique,30000,808,39,948,2.69,Non,Non,7.4
2025-01-06,E03,Marseille-Port,S03,Marseille,P009,TV 4K,Électronique,30000,71,62,695,0.24,Non,Non,1.4
2025-01-06,E03,Marseille-Port,S03,Marseille,P010,Casque audio,Électronique,30000,81,24,1670,0.27,Non,Non,19.7
2025-01-06,E04,Lille-Nord,S04,Lille,P001,Lait demi-écrémé,Alimentaire,28000,95,73,1886,0.34,Non,Non,11.3
2025-01-06,E04,Lille-Nord,S04,Lille,P002,Riz 1kg,Alimentaire,28000,1565,20,1804,5.59,Non,Non,28.8
2025-01-06,E04,Lille-Nord,S04,Lille,P003,Pâtes 500g,Alimentaire,28000,1045,91,1347,3.73,Non,Non,8.3
2025-01-06,E04,Lille-Nord,S04,Lille,P004,Shampoing,Droguerie,28000,119,21,810,0.43,Non,Non,3.6
2025-01-06,E04,Lille-Nord,S04,Lille,P005,Lessive,Droguerie,28000,450,70,1409,1.61,Non,Non,24.0
2025-01-06,E04,Lille-Nord,S04,Lille,P006,T-shirt homme,Textile,28000,288,98,513,1.03,Non,Non,27.0
2025-01-06,E04,Lille-Nord,S04,Lille,P007,Jeans,Textile,28000,684,62,1434,2.44,Non,Non,22.9
2025-01-06,E04,Lille-Nord,S04,Lille,P008,Smartphone,Électronique,28000,1617,92,1639,5.78,Non,Oui,29.5
2025-01-06,E04,Lille-Nord,S04,Lille,P009,TV 4K,Électronique,28000,1158,77,1162,4.14,Non,Oui,26.0
2025-01-06,E04,Lille-Nord,S04,Lille,P010,Casque audio,Électronique,28000,607,31,850,2.17,Non,Non,22.4
2025-01-06,E05,Toulouse-Ouest,S05,Toulouse,P001,Lait demi-écrémé,Alimentaire,25000,343,74,1138,1.37,Non,Non,12.5
2025-01-06,E05,Toulouse-Ouest,S05,Toulouse,P002,Riz 1kg,Alimentaire,25000,429,49,992,1.72,Non,Non,20.5
2025-01-06,E05,Toulouse-Ouest,S05,Toulouse,P003,Pâtes 500g,Alimentaire,25000,144,42,517,0.58,Non,Non,14.3
2025-01-06,E05,Toulouse-Ouest,S05,Toulouse,P004,Shampoing,Droguerie,25000,382,65,1566,1.53,Non,Non,3.3
2025-01-06,E05,Toulouse-Ouest,S05,Toulouse,P005,Lessive,Droguerie,25000,50,79,1448,0.2,Oui,Non,21.2
2025-01-06,E05,Toulouse-Ouest,S05,Toulouse,P006,T-shirt homme,Textile,25000,464,36,502,1.86,Non,Oui,13.9
2025-01-06,E05,Toulouse-Ouest,S05,Toulouse,P007,Jeans,Textile,25000,331,31,1205,1.32,Non,Non,7.5
2025-01-06,E05,Toulouse-Ouest,S05,Toulouse,P008,Smartphone,Électronique,25000,185,90,512,0.74,Non,Non,6.5
2025-01-06,E05,Toulouse-Ouest,S05,Toulouse,P009,TV 4K,Électronique,25000,662,41,702,2.65,Non,Oui,24.1
2025-01-06,E05,Toulouse-Ouest,S05,Toulouse,P010,Casque audio,Électronique,25000,361,41,638,1.44,Non,Non,27.3
2025-01-06,E06,Nice-Est,S06,Nice,P001,Lait demi-écrémé,Alimentaire,20000,534,87,754,2.67,Non,Non,17.6
2025-01-06,E06,Nice-Est,S06,Nice,P002,Riz 1kg,Alimentaire,20000,8,82,1980,0.04,Oui,Non,20.9
2025-01-06,E06,Nice-Est,S06,Nice,P003,Pâtes 500g,Alimentaire,20000,444,92,693,2.22,Non,Non,4.1
2025-01-06,E06,Nice-Est,S06,Nice,P004,Shampoing,Droguerie,20000,894,34,1530,4.47,Non,Non,7.1
2025-01-06,E06,Nice-Est,S06,Nice,P005,Lessive,Droguerie,20000,1126,67,1180,5.63,Non,Oui,17.0
2025-01-06,E06,Nice-Est,S06,Nice,P006,T-shirt homme,Textile,20000,949,95,1140,4.75,Non,Non,21.0
2025-01-06,E06,Nice-Est,S06,Nice,P007,Jeans,Textile,20000,720,80,842,3.6,Non,Non,21.0
2025-01-06,E06,Nice-Est,S06,Nice,P008,Smartphone,Électronique,20000,1058,68,1638,5.29,Non,Non,2.3
2025-01-06,E06,Nice-Est,S06,Nice,P009,TV 4K,Électronique,20000,484,26,1195,2.42,Non,Non,14.9
2025-01-06,E06,Nice-Est,S06,Nice,P010,Casque audio,Électronique,20000,68,97,942,0.34,Oui,Non,16.9
2025-01-06,E07,Bordeaux-Centre,S07,Bordeaux,P001,Lait demi-écrémé,Alimentaire,22000,316,68,1746,1.44,Non,Non,15.7
2025-01-06,E07,Bordeaux-Centre,S07,Bordeaux,P002,Riz 1kg,Alimentaire,22000,353,94,1482,1.6,Non,Non,24.3
2025-01-06,E07,Bordeaux-Centre,S07,Bordeaux,P003,Pâtes 500g,Alimentaire,22000,636,55,1179,2.89,Non,Non,26.1
2025-01-06,E07,Bordeaux-Centre,S07,Bordeaux,P004,Shampoing,Droguerie,22000,282,32,1552,1.28,Non,Non,5.9
2025-01-06,E07,Bordeaux-Centre,S07,Bordeaux,P005,Lessive,Droguerie,22000,1,81,832,0.0,Oui,Non,2.6
2025-01-06,E07,Bordeaux-Centre,S07,Bordeaux,P006,T-shirt homme,Textile,22000,629,90,937,2.86,Non,Non,9.5
2025-01-06,E07,Bordeaux-Centre,S07,Bordeaux,P007,Jeans,Textile,22000,1717,36,1780,7.8,Non,Oui,29.4
2025-01-06,E07,Bordeaux-Centre,S07,Bordeaux,P008,Smartphone,Électronique,22000,318,37,1856,1.45,Non,Non,2.7
2025-01-06,E07,Bordeaux-Centre,S07,Bordeaux,P009,TV 4K,Électronique,22000,570,31,1068,2.59,Non,Non,15.1
2025-01-06,E07,Bordeaux-Centre,S07,Bordeaux,P010,Casque audio,Électronique,22000,432,55,1841,1.96,Non,Non,22.2
2025-01-06,E08,Nantes-Atlantique,S08,Nantes,P001,Lait demi-écrémé,Alimentaire,24000,67,87,724,0.28,Oui,Non,13.2
2025-01-06,E08,Nantes-Atlantique,S08,Nantes,P002,Riz 1kg,Alimentaire,24000,1233,66,1682,5.14,Non,Non,21.6
2025-01-06,E08,Nantes-Atlantique,S08,Nantes,P003,Pâtes 500g,Alimentaire,24000,259,21,1878,1.08,Non,Non,22.3
2025-01-06,E08,Nantes-Atlantique,S08,Nantes,P004,Shampoing,Droguerie,24000,36,21,761,0.15,Non,Non,19.4
2025-01-06,E08,Nantes-Atlantique,S08,Nantes,P005,Lessive,Droguerie,24000,305,26,1067,1.27,Non,Non,7.4
2025-01-06,E08,Nantes-Atlantique,S08,Nantes,P006,T-shirt homme,Textile,24000,734,36,767,3.06,Non,Oui,13.7
2025-01-06,E08,Nantes-Atlantique,S08,Nantes,P007,Jeans,Textile,24000,712,65,760,2.97,Non,Oui,26.4
2025-01-06,E08,Nantes-Atlantique,S08,Nantes,P008,Smartphone,Électronique,24000,397,51,1263,1.65,Non,Non,2.2
2025-01-06,E08,Nantes-Atlantique,S08,Nantes,P009,TV 4K,Électronique,24000,191,36,1530,0.8,Non,Non,13.1
2025-01-06,E08,Nantes-Atlantique,S08,Nantes,P010,Casque audio,Électronique,24000,519,26,1333,2.16,Non,Non,12.5
2025-01-13,E01,Paris-Rungis,S01,Paris,P001,Lait demi-écrémé,Alimentaire,50000,1689,20,1897,3.38,Non,Non,2.7
2025-01-13,E01,Paris-Rungis,S01,Paris,P002,Riz 1kg,Alimentaire,50000,957,96,972,1.91,Non,Oui,25.0
2025-01-13,E01,Paris-Rungis,S01,Paris,P003,Pâtes 500g,Alimentaire,50000,728,78,1441,1.46,Non,Non,12.5
2025-01-13,E01,Paris-Rungis,S01,Paris,P004,Shampoing,Droguerie,50000,625,94,696,1.25,Non,Non,16.6
2025-01-13,E01,Paris-Rungis,S01,Paris,P005,Lessive,Droguerie,50000,23,36,645,0.05,Oui,Non,19.9
2025-01-13,E01,Paris-Rungis,S01,Paris,P006,T-shirt homme,Textile,50000,425,96,683,0.85,Non,Non,20.8
2025-01-13,E01,Paris-Rungis,S01,Paris,P007,Jeans,Textile,50000,611,29,1461,1.22,Non,Non,12.0
2025-01-13,E01,Paris-Rungis,S01,Paris,P008,Smartphone,Électronique,50000,162,97,583,0.32,Non,Non,17.9
2025-01-13,E01,Paris-Rungis,S01,Paris,P009,TV 4K,Électronique,50000,122,87,946,0.24,Non,Non,28.4
2025-01-13,E01,Paris-Rungis,S01,Paris,P010,Casque audio,Électronique,50000,507,23,1039,1.01,Non,Non,25.4
2025-01-13,E02,Lyon-Sud,S02,Lyon,P001,Lait demi-écrémé,Alimentaire,35000,136,89,1065,0.39,Non,Non,19.0
