order_id,supplier_id,supplier_name,pays_origine,categorie,product_id,product_name,date_commande,date_livraison,delai_prevu_j,delai_reel_j,retard_j,quantite_commandee,prix_unitaire,montant_total,taux_fiabilite,conformite_qualite
ORD00001,F002,RizImport SAS,Italie,Alimentaire,P002,Riz 1kg,2025-01-13,2025-01-22,5,9,4,613,110.58,67785.54,0.78,Oui
ORD00002,F009,TVGlobal,Corée du Sud,Électronique,P009,TV 4K,2025-02-14,2025-03-14,25,28,3,914,14.79,13518.06,0.77,Oui
ORD00003,F010,AudioMax,Chine,Électronique,P010,Casque audio,2025-01-14,2025-02-04,18,21,3,457,322.35,147313.95,0.93,Oui
ORD00004,F008,TechDistrib,Chine,Électronique,P008,Smartphone,2025-10-29,2025-11-20,21,22,1,1707,391.25,667863.75,0.94,Oui
ORD00005,F007,DenimCo,Turquie,Textile,P007,Jeans,2025-06-24,2025-07-09,14,15,1,368,97.28,35799.04,0.94,Oui
ORD00006,F007,DenimCo,Turquie,Textile,P007,Jeans,2025-02-19,2025-03-06,14,15,1,1785,155.11,276871.35,0.82,Oui
ORD00007,F008,TechDistrib,Chine,Électronique,P008,Smartphone,2025-10-02,2025-10-22,21,20,0,1938,170.65,330719.7,0.89,Oui
ORD00008,F010,AudioMax,Chine,Électronique,P010,Casque audio,2025-07-05,2025-07-26,18,21,3,443,317.21,140524.03,0.76,Oui
ORD00009,F005,CleanHome,France,Droguerie,P005,Lessive,2025-02-10,2025-02-13,3,3,0,1824,45.9,83721.6,0.82,Oui
ORD00010,F006,FashionBasic,Portugal,Textile,P006,T-shirt homme,2025-03-25,2025-04-05,10,11,1,777,94.67,73558.59,0.82,Non
ORD00011,F002,RizImport SAS,Italie,Alimentaire,P002,Riz 1kg,2025-11-08,2025-11-17,5,9,4,400,240.6,96240.0,0.81,Oui
ORD00012,F005,CleanHome,France,Droguerie,P005,Lessive,2025-11-24,2025-12-01,3,7,4,1190,99.22,118071.8,0.83,Oui
ORD00013,F001,LaLaiterie SA,France,Alimentaire,P001,Lait demi-écrémé,2025-04-28,2025-04-29,2,1,0,1698,142.3,241625.4,0.82,Oui
ORD00014,F010,AudioMax,Chine,Électronique,P010,Casque audio,2025-06-11,2025-06-29,18,18,0,1392,224.9,313060.8,0.97,Oui
ORD00015,F003,PâtesItalia,Italie,Alimentaire,P003,Pâtes 500g,2025-05-16,2025-05-20,4,4,0,555,335.37,186130.35,0.88,Oui
ORD00016,F007,DenimCo,Turquie,Textile,P007,Jeans,2025-10-26,2025-11-11,14,16,2,791,99.08,78372.28,1.0,Oui
ORD00017,F002,RizImport SAS,Italie,Alimentaire,P002,Riz 1kg,2025-01-25,2025-01-29,5,4,0,363,282.54,102562.02,0.95,Oui
ORD00018,F002,RizImport SAS,Italie,Alimentaire,P002,Riz 1kg,2025-07-17,2025-07-24,5,7,2,1270,448.26,569290.2,0.88,Non
ORD00019,F001,LaLaiterie SA,France,Alimentaire,P001,Lait demi-écrémé,2025-12-15,2025-12-21,2,6,4,284,306.93,87168.12,0.88,Oui
ORD00020,F006,FashionBasic,Portugal,Textile,P006,T-shirt homme,2025-02-27,2025-03-10,10,11,1,940,71.59,67294.6,0.75,Oui
ORD00021,F005,CleanHome,France,Droguerie,P005,Lessive,2025-09-14,2025-09-17,3,3,0,1089,410.73,447284.97,0.97,Oui
ORD00022,F009,TVGlobal,Corée du Sud,Électronique,P009,TV 4K,2025-11-08,2025-12-03,25,25,0,363,168.57,61190.91,0.79,Non
ORD00023,F009,TVGlobal,Corée du Sud,Électronique,P009,TV 4K,2025-01-01,2025-01-29,25,28,3,713,220.13,156952.69,0.78,Oui
ORD00024,F005,CleanHome,France,Droguerie,P005,Lessive,2025-05-03,2025-05-05,3,2,0,543,395.17,214577.31,0.99,Oui
ORD00025,F008,TechDistrib,Chine,Électronique,P008,Smartphone,2025-02-05,2025-03-01,21,24,3,1618,57.03,92274.54,0.91,Non
ORD00026,F003,PâtesItalia,Italie,Alimentaire,P003,Pâtes 500g,2025-05-16,2025-05-23,4,7,3,1836,273.16,501521.76,0.99,Non
ORD00027,F004,BeautyPro,Allemagne,Droguerie,P004,Shampoing,2025-06-09,2025-06-17,6,8,2,1425,292.62,416983.5,0.86,Oui
ORD00028,F002,RizImport SAS,Italie,Alimentaire,P002,Riz 1kg,2025-05-07,2025-05-12,5,5,0,181,152.47,27597.07,0.9,Oui
ORD00029,F004,BeautyPro,Allemagne,Droguerie,P004,Shampoing,2025-01-04,2025-01-09,6,5,0,1499,284.18,425985.82,0.81,Oui
ORD00030,F006,FashionBasic,Portugal,Textile,P006,T-shirt homme,2025-02-06,2025-02-19,10,13,3,537,125.68,67490.16,0.87,Oui
ORD00031,F010,AudioMax,Chine,Électronique,P010,Casque audio,2025-10-23,2025-11-12,18,20,2,547,353.19,193194.93,0.95,Oui
ORD00032,F002,RizImport SAS,Italie,Alimentaire,P002,Riz 1kg,2025-12-04,2025-12-11,5,7,2,775,190.9,147947.5,0.87,Oui
ORD00033,F002,RizImport SAS,Italie,Alimentaire,P002,Riz 1kg,2025-02-01,2025-02-08,5,7,2,1541,153.02,235803.82,0.97,Oui
ORD00034,F004,BeautyPro,Allemagne,Droguerie,P004,Shampoing,2025-10-02,2025-10-10,6,8,2,337,190.14,64077.18,0.82,Oui
ORD00035,F002,RizImport SAS,Italie,Alimentaire,P002,Riz 1kg,2025-08-15,2025-08-23,5,8,3,250,23.24,5810.0,1.0,Oui
ORD00036,F002,RizImport SAS,Italie,Alimentaire,P002,Riz 1kg,2025-05-02,2025-05-07,5,5,0,882,218.8,192981.6,0.8,Oui
ORD00037,F001,LaLaiterie SA,France,Alimentaire,P001,Lait demi-écrémé,2025-03-26,2025-03-30,2,4,2,54,443.4,23943.6,0.82,Oui
ORD00038,F008,TechDistrib,Chine,Électronique,P008,Smartphone,2025-05-27,2025-06-19,21,23,2,1476,430.81,635875.56,1.0,Oui
ORD00039,F008,TechDistrib,Chine,Électronique,P008,Smartphone,2025-03-21,2025-04-11,21,21,0,657,98.36,64622.52,0.76,Oui
ORD00040,F001,LaLaiterie SA,France,Alimentaire,P001,Lait demi-écrémé,2025-06-10,2025-06-11,2,1,0,152,263.09,39989.68,0.88,Oui
ORD00041,F003,PâtesItalia,Italie,Alimentaire,P003,Pâtes 500g,2025-01-30,2025-02-06,4,7,3,214,383.18,82000.52,0.77,Oui
ORD00042,F004,BeautyPro,Allemagne,Droguerie,P004,Shampoing,2025-07-26,2025-07-31,6,5,0,1978,400.68,792545.04,0.81,Oui
ORD00043,F010,AudioMax,Chine,Électronique,P010,Casque audio,2025-02-11,2025-03-03,18,20,2,1396,262.86,366952.56,0.88,Non
ORD00044,F004,BeautyPro,Allemagne,Droguerie,P004,Shampoing,2025-12-09,2025-12-19,6,10,4,693,107.79,74698.47,0.85,Oui
ORD00045,F005,CleanHome,France,Droguerie,P005,Lessive,2025-08-23,2025-08-27,3,4,1,1952,338.46,660673.92,0.77,Oui
ORD00046,F010,AudioMax,Chine,Électronique,P010,Casque audio,2025-02-21,2025-03-10,18,17,0,1151,96.31,110852.81,0.82,Non
ORD00047,F002,RizImport SAS,Italie,Alimentaire,P002,Riz 1kg,2025-05-06,2025-05-12,5,6,1,633,71.41,45202.53,0.96,Oui
ORD00048,F010,AudioMax,Chine,Électronique,P010,Casque audio,2025-12-01,2025-12-22,18,21,3,66,300.7,19846.2,0.89,Non
ORD00049,F002,RizImport SAS,Italie,Alimentaire,P002,Riz 1kg,2025-03-10,2025-03-16,5,6,1,286,400.43,114522.98,0.94,Oui
ORD00050,F005,CleanHome,France,Droguerie,P005,Lessive,2025-11-06,2025-11-09,3,3,0,1519,154.62,234867.78,0.92,Oui
ORD00051,F009,TVGlobal,Corée du Sud,Électronique,P009,TV 4K,2025-09-08,2025-10-04,25,26,1,1904,408.72,778202.88,0.76,Oui
ORD00052,F005,CleanHome,France,Droguerie,P005,Lessive,2025-01-23,2025-01-25,3,2,0,733,347.12,254438.96,0.91,Oui
ORD00053,F008,TechDistrib,Chine,Électronique,P008,Smartphone,2025-10-10,2025-11-04,21,25,4,925,252.63,233682.75,0.78,Non
ORD00054,F003,PâtesItalia,Italie,Alimentaire,P003,Pâtes 500g,2025-10-07,2025-10-10,4,3,0,1759,166.46,292803.14,0.89,Oui
ORD00055,F001,LaLaiterie SA,France,Alimentaire,P001,Lait demi-écrémé,2025-06-07,2025-06-10,2,3,1,1891,419.92,794068.72,0.99,Oui
ORD00056,F006,FashionBasic,Portugal,Textile,P006,T-shirt homme,2025-04-18,2025-05-02,10,14,4,561,300.29,168462.69,0.84,Oui
ORD00057,F007,DenimCo,Turquie,Textile,P007,Jeans,2025-11-14,2025-12-02,14,18,4,366,416.63,152486.58,0.81,Oui
ORD00058,F003,PâtesItalia,Italie,Alimentaire,P003,Pâtes 500g,2025-07-31,2025-08-03,4,3,0,417,331.59,138273.03,0.83,Non
ORD00059,F004,BeautyPro,Allemagne,Droguerie,P004,Shampoing,2025-05-17,2025-05-23,6,6,0,1662,315.72,524726.64,0.85,Oui
ORD00060,F008,TechDistrib,Chine,Électronique,P008,Smartphone,2025-04-24,2025-05-15,21,21,0,1722,413.34,711771.48,0.84,Oui
ORD00061,F004,BeautyPro,Allemagne,Droguerie,P004,Shampoing,2025-04-25,2025-04-30,6,5,0,1401,87.31,122321.31,0.83,Oui
ORD00062,F005,CleanHome,France,Droguerie,P005,Lessive,2025-06-29,2025-07-06,3,7,4,1093,180.16,196914.88,1.0,Oui
ORD00063,F001,LaLaiterie SA,France,Alimentaire,P001,Lait demi-écrémé,2025-03-01,2025-03-04,2,3,1,415,261.48,108514.2,1.0,Oui
ORD00064,F010,AudioMax,Chine,Électronique,P010,Casque audio,2025-08-11,2025-08-30,18,19,1,1542,354.0,545868.0,0.86,Non
ORD00065,F002,RizImport SAS,Italie,Alimentaire,P002,Riz 1kg,2025-07-17,2025-07-25,5,8,3,439,115.0,50485.0,0.93,Oui
ORD00066,F009,TVGlobal,Corée du Sud,Électronique,P009,TV 4K,2025-12-18,2026-01-16,25,29,4,1975,334.01,659669.75,0.92,Oui
ORD00067,F002,RizImport SAS,Italie,Alimentaire,P002,Riz 1kg,2025-12-07,2025-12-13,5,6,1,1326,141.61,187774.86,0.96,Oui
ORD00068,F005,CleanHome,France,Droguerie,P005,Lessive,2025-09-17,2025-09-21,3,4,1,1415,184.07,260459.05,0.85,Oui
ORD00069,F003,PâtesItalia,Italie,Alimentaire,P003,Pâtes 500g,2025-04-09,2025-04-15,4,6,2,1411,423.19,597121.09,0.92,Oui
ORD00070,F010,AudioMax,Chine,Électronique,P010,Casque audio,2025-10-19,2025-11-07,18,19,1,881,246.8,217430.8,0.75,Oui
ORD00071,F007,DenimCo,Turquie,Textile,P007,Jeans,2025-10-24,2025-11-10,14,17,3,1390,145.35,202036.5,0.86,Oui
ORD00072,F009,TVGlobal,Corée du Sud,Électronique,P009,TV 4K,2025-08-31,2025-09-29,25,29,4,397,296.65,117770.05,0.82,Oui
ORD00073,F010,AudioMax,Chine,Électronique,P010,Casque audio,2025-06-21,2025-07-08,18,17,0,1726,428.42,739452.92,0.81,Oui
ORD00074,F004,BeautyPro,Allemagne,Droguerie,P004,Shampoing,2025-03-17,2025-03-22,6,5,0,144,110.56,15920.64,0.87,Oui
ORD00075,F002,RizImport SAS,Italie,Alimentaire,P002,Riz 1kg,2025-08-22,2025-08-29,5,7,2,1864,283.58,528593.12,0.8,Oui
ORD00076,F008,TechDistrib,Chine,Électronique,P008,Smartphone,2025-07-24,2025-08-14,21,21,0,352,295.4,103980.8,0.75,Oui
ORD00077,F002,RizImport SAS,Italie,Alimentaire,P002,Riz 1kg,2025-08-06,2025-08-11,5,5,0,410,361.95,148399.5,0.92,Oui
ORD00078,F009,TVGlobal,Corée du Sud,Électronique,P009,TV 4K,2025-05-08,2025-06-01,25,24,0,984,60.44,59472.96,0.87,Oui
ORD00079,F009,TVGlobal,Corée du Sud,Électronique,P009,TV 4K,2025-11-01,2025-11-27,25,26,1,1995,339.98,678260.1,0.86,Oui
ORD00080,F009,TVGlobal,Corée du Sud,Électronique,P009,TV 4K,2025-08-07,2025-09-04,25,28,3,963,403.8,388859.4,0.94,Oui
ORD00081,F005,CleanHome,France,Droguerie,P005,Lessive,2025-05-07,2025-05-14,3,7,4,617,344.73,212698.41,0.88,Oui
ORD00082,F005,CleanHome,France,Droguerie,P005,Lessive,2025-08-14,2025-08-16,3,2,0,1511,128.93,194813.23,0.82,Oui
ORD00083,F009,TVGlobal,Corée du Sud,Électronique,P009,TV 4K,2025-02-11,2025-03-08,25,25,0,358,104.45,37393.1,0.92,Oui
ORD00084,F002,RizImport SAS,Italie,Alimentaire,P002,Riz 1kg,2025-08-01,2025-08-08,5,7,2,727,244.4,177678.8,0.85,Oui
ORD00085,F007,DenimCo,Turquie,Textile,P007,Jeans,2025-07-19,2025-08-05,14,17,3,1987,313.14,622209.18,0.96,Oui
ORD00086,F007,DenimCo,Turquie,Textile,P007,Jeans,2025-09-02,2025-09-15,14,13,0,1980,158.62,314067.6,0.94,Oui
ORD00087,F007,DenimCo,Turquie,Textile,P007,Jeans,2025-10-03,2025-10-21,14,18,4,1554,245.99,382268.46,0.9,Oui
ORD00088,F004,BeautyPro,Allemagne,Droguerie,P004,Shampoing,2025-05-20,2025-05-28,6,8,2,1044,13.55,14146.2,0.83,Oui
ORD00089,F007,DenimCo,Turquie,Textile,P007,Jeans,2025-03-26,2025-04-11,14,16,2,1933,57.87,111862.71,0.91,Oui
ORD00090,F007,DenimCo,Turquie,Textile,P007,Jeans,2025-10-31,2025-11-17,14,17,3,1407,12.68,17840.76,0.91,Oui
ORD00091,F008,TechDistrib,Chine,Électronique,P008,Smartphone,2025-04-04,2025-04-24,21,20,0,582,170.91,99469.62,0.8,Oui
