livraison_id,type_flux,entrepot_depart_id,entrepot_depart_nom,entrepot_arrivee_id,entrepot_arrivee_nom,product_id,product_name,categorie,date_depart,date_arrivee_prevue,duree_transport_j,quantite,poids_kg,transporteur,cout_transport_eur,statut_livraison,incident
LIV00001,Fournisseur → Entrepôt,E06,Nice-Est,E02,Lyon-Sud,P010,Casque audio,Électronique,2025-11-02,2025-11-06,4,636,3486.6,FM Logistic,694.28,Livré,Aucun
LIV00002,Magasin → Magasin,E02,Lyon-Sud,E08,Nantes-Atlantique,P002,Riz 1kg,Alimentaire,2025-12-16,2025-12-19,3,474,1724.5,FM Logistic,310.16,Livré,Aucun
LIV00003,Magasin → Magasin,E08,Nantes-Atlantique,E01,Paris-Rungis,P002,Riz 1kg,Alimentaire,2025-01-13,2025-01-14,1,431,5146.1,FM Logistic,770.16,Livré,Aucun
LIV00004,Fournisseur → Entrepôt,E07,Bordeaux-Centre,E06,Nice-Est,P002,Riz 1kg,Alimentaire,2025-09-29,2025-10-04,5,1047,1735.0,XPO Logistics,669.2,Livré,Aucun
LIV00005,Entrepôt → Magasin,E06,Nice-Est,E05,Toulouse-Ouest,P010,Casque audio,Électronique,2025-03-20,2025-03-24,4,1253,5075.1,DB Schenker,1127.16,Livré,Aucun
LIV00006,Entrepôt → Magasin,E04,Lille-Nord,E02,Lyon-Sud,P002,Riz 1kg,Alimentaire,2025-03-24,2025-03-26,2,391,1434.2,Geodis,403.6,Livré,Retard transporteur
LIV00007,Fournisseur → Entrepôt,E08,Nantes-Atlantique,E02,Lyon-Sud,P002,Riz 1kg,Alimentaire,2025-06-09,2025-06-14,5,457,5495.0,DB Schenker,1165.39,Livré,Retard transporteur
LIV00008,Entrepôt → Magasin,E08,Nantes-Atlantique,E01,Paris-Rungis,P004,Shampoing,Droguerie,2025-07-26,2025-07-30,4,851,11009.0,DHL Supply Chain,3391.51,Livré,Aucun
LIV00009,Magasin → Magasin,E03,Marseille-Port,E02,Lyon-Sud,P009,TV 4K,Électronique,2025-03-21,2025-03-22,1,380,4512.7,FM Logistic,1035.09,Livré,Casse
LIV00010,Magasin → Magasin,E03,Marseille-Port,E05,Toulouse-Ouest,P009,TV 4K,Électronique,2025-05-14,2025-05-18,4,283,1859.9,DB Schenker,526.22,Livré,Retard transporteur
LIV00011,Fournisseur → Entrepôt,E07,Bordeaux-Centre,E05,Toulouse-Ouest,P003,Pâtes 500g,Alimentaire,2025-12-06,2025-12-07,1,833,5158.8,XPO Logistics,1562.71,Livré,Aucun
LIV00012,Entrepôt → Magasin,E03,Marseille-Port,E02,Lyon-Sud,P005,Lessive,Droguerie,2025-12-01,2025-12-04,3,431,6455.4,Geodis,1395.42,Livré,Erreur quantité
LIV00013,Entrepôt → Magasin,E05,Toulouse-Ouest,E08,Nantes-Atlantique,P007,Jeans,Textile,2025-06-29,2025-06-30,1,325,4716.7,FM Logistic,506.91,Livré,Aucun
LIV00014,Entrepôt → Magasin,E08,Nantes-Atlantique,E07,Bordeaux-Centre,P001,Lait demi-écrémé,Alimentaire,2025-06-07,2025-06-12,5,1464,16059.8,Geodis,1852.53,Livré,Aucun
LIV00015,Magasin → Magasin,E06,Nice-Est,E05,Toulouse-Ouest,P006,T-shirt homme,Textile,2025-07-05,2025-07-10,5,1290,13846.0,FM Logistic,2789.26,Livré,Aucun
LIV00016,Inter-entrepôts,E02,Lyon-Sud,E03,Marseille-Port,P007,Jeans,Textile,2025-04-10,2025-04-14,4,699,6130.3,DHL Supply Chain,728.13,Livré,Aucun
LIV00017,Fournisseur → Entrepôt,E04,Lille-Nord,E03,Marseille-Port,P009,TV 4K,Électronique,2025-08-06,2025-08-07,1,437,5485.1,DB Schenker,868.81,Annulé,Aucun
LIV00018,Inter-entrepôts,E01,Paris-Rungis,E06,Nice-Est,P009,TV 4K,Électronique,2025-06-02,2025-06-04,2,895,10617.7,DHL Supply Chain,2898.32,Livré,Aucun
LIV00019,Magasin → Magasin,E02,Lyon-Sud,E04,Lille-Nord,P001,Lait demi-écrémé,Alimentaire,2025-01-17,2025-01-18,1,163,245.4,DB Schenker,183.26,Livré,Aucun
LIV00020,Inter-entrepôts,E04,Lille-Nord,E05,Toulouse-Ouest,P005,Lessive,Droguerie,2025-09-13,2025-09-18,5,330,3776.7,FM Logistic,632.04,Livré,Aucun
LIV00021,Magasin → Magasin,E02,Lyon-Sud,E08,Nantes-Atlantique,P007,Jeans,Textile,2025-05-09,2025-05-13,4,1451,13352.6,Geodis,1915.9,En transit,Aucun
