transaction_id,date,store_id,store_city,product_id,product_name,category,price,quantity,total_amount,customer_id,customer_age,customer_segment,loyalty_points,payment_method,stock_before,stock_after,promotion,weather,temperature,special_day,web_visits,clicks
T00001,2025-09-11,S08,Nantes,P008,Smartphone,Électronique,299.0,6,1794.0,C813,58,Famille,3982,Espèces,54,48,Oui,Pluie,8.4,Black Friday,41,34
T00002,2025-02-25,S05,Toulouse,P002,Riz 1kg,Alimentaire,2.0,2,4.0,C415,44,Senior,2313,CB,100,98,Oui,Pluie,6.5,Noël,39,33
T00003,2025-04-22,S01,Paris,P008,Smartphone,Électronique,299.0,5,1495.0,C205,44,Actif,2783,Espèces,148,143,Non,Soleil,33.4,Soldes,0,0
T00004,2025-05-10,S06,Nice,P008,Smartphone,Électronique,299.0,4,1196.0,C983,50,Actif,4886,Mobile,44,40,Non,Nuageux,4.7,Aucun,24,14
T00005,2025-01-19,S07,Bordeaux,P007,Jeans,Textile,35.0,7,245.0,C405,31,Famille,1274,Espèces,185,178,Non,Soleil,1.5,Aucun,50,1
T00006,2025-07-03,S07,Bordeaux,P007,Jeans,Textile,35.0,9,315.0,C428,30,Famille,4243,CB,68,59,Oui,Soleil,12.2,Black Friday,20,10
T00007,2025-04-08,S07,Bordeaux,P002,Riz 1kg,Alimentaire,2.0,1,2.0,C489,58,Actif,4658,CB,56,55,Non,Pluie,16.7,Soldes,43,18
T00008,2025-08-09,S04,Lille,P001,Lait demi-écrémé,Alimentaire,1.2,6,7.2,C657,59,Actif,251,Mobile,179,173,Oui,Nuageux,34.4,Soldes,12,7
T00009,2025-08-17,S02,Lyon,P004,Shampoing,Droguerie,4.5,10,45.0,C813,26,Senior,1832,CB,137,127,Non,Soleil,7.2,Black Friday,42,11
T00010,2025-04-21,S03,Marseille,P004,Shampoing,Droguerie,4.5,1,4.5,C801,65,Actif,4636,Espèces,122,121,Oui,Nuageux,0.2,Noël,25,11
T00011,2025-08-26,S07,Bordeaux,P002,Riz 1kg,Alimentaire,2.0,2,4.0,C994,51,Senior,932,CB,90,88,Non,Pluie,1.8,Noël,26,19
T00012,2025-11-10,S05,Toulouse,P007,Jeans,Textile,35.0,2,70.0,C736,43,Jeune,3243,Espèces,118,116,Non,Neige,17.8,Soldes,6,3
T00013,2025-09-01,S06,Nice,P005,Lessive,Droguerie,8.5,3,25.5,C870,25,Senior,262,Espèces,165,162,Non,Soleil,23.3,Aucun,31,20
T00014,2025-06-20,S04,Lille,P005,Lessive,Droguerie,8.5,3,25.5,C363,49,Famille,2980,Mobile,141,138,Non,Soleil,27.7,Soldes,30,26
T00015,2025-05-22,S07,Bordeaux,P003,Pâtes 500g,Alimentaire,1.1,7,7.7,C724,34,Famille,3013,Espèces,83,76,Oui,Pluie,1.2,Black Friday,0,1
T00016,2025-08-22,S08,Nantes,P010,Casque audio,Électronique,49.0,7,343.0,C286,31,Jeune,4019,Espèces,67,60,Oui,Soleil,32.3,Noël,37,15
T00017,2025-09-20,S03,Marseille,P009,TV 4K,Électronique,599.0,9,5391.0,C902,32,Famille,1877,Mobile,41,32,Oui,Nuageux,3.0,Black Friday,16,5
T00018,2025-02-02,S06,Nice,P010,Casque audio,Électronique,49.0,3,147.0,C951,49,Jeune,766,Espèces,28,25,Non,Neige,-3.4,Soldes,17,17
T00019,2025-03-04,S04,Lille,P006,T-shirt homme,Textile,12.0,7,84.0,C802,40,Actif,2728,Mobile,36,29,Non,Soleil,15.8,Soldes,17,6
T00020,2025-01-10,S08,Nantes,P007,Jeans,Textile,35.0,4,140.0,C118,41,Senior,1200,CB,158,154,Non,Neige,10.7,Noël,1,1
T00021,2025-04-17,S06,Nice,P009,TV 4K,Électronique,599.0,6,3594.0,C721,62,Jeune,3500,Mobile,138,132,Oui,Pluie,-2.1,Noël,24,2
T00022,2025-04-10,S05,Toulouse,P008,Smartphone,Électronique,299.0,6,1794.0,C224,65,Senior,3174,CB,33,27,Oui,Nuageux,22.2,Soldes,29,1
T00023,2025-08-10,S04,Lille,P005,Lessive,Droguerie,8.5,7,59.5,C400,70,Jeune,3495,Mobile,20,13,Oui,Soleil,30.4,Soldes,8,8
